Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Dick, D. M., Viken, R. J., Kaprio, J., Pulkkinen, L., & Rose, R. J. (2005). Understanding the covariation among childhood externalizing symptoms: genetic and environmental influences on conduct disorder, attention deficit hyperactivity disorder, and oppositional defiant disorder symptoms. Journal of abnormal child psychology, 33(2), 219-229. ","Dick, Viken, Kaprio, Pulkkinen & Rose (2005)",No data,FT12,,FT12,Twin study,Classical,1262,,,14y,Adolescence,Finland,,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,C-SSAGA-A,,,,,,,,Self,,Not used,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.46,0.18,,,0.18,0.09,BEST
"Dick, D. M., Viken, R. J., Kaprio, J., Pulkkinen, L., & Rose, R. J. (2005). Understanding the covariation among childhood externalizing symptoms: genetic and environmental influences on conduct disorder, attention deficit hyperactivity disorder, and oppositional defiant disorder symptoms. Journal of abnormal child psychology, 33(2), 219-229. ","Dick, Viken, Kaprio, Pulkkinen & Rose (2005)",No data,FT12,,FT12,Twin study,Classical,1262,,,14y,Adolescence,Finland,,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,C-SSAGA-A,,,,,,,,Self,,Not used,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.74,0.14,,,0.54,0.17,BEST
"Dworzynski, K., Ronald, A., Hayiou‐Thomas, M. E., McEwan, F., Happé, F., Bolton, P., & Plomin, R. (2008). Developmental path between language and autistic‐like impairments: A twin study. Infant and Child Development: An International Journal of Research and Practice, 17(2), 121-136. ",Dworzynski et al. (2008),No data,TEDS,,TEDS,Twin study,DFextremes,12174,,,7-9y,Childhood & Middle Childhood,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,MacArthur Communicative Development Inventory,CAST,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,ASD & Low language ability,ASD & Language ability,Autistic Traits & Language Ability,0.33,0.01,,,,,DFAonly
"Dworzynski, K., Ronald, A., Hayiou‐Thomas, M. E., McEwan, F., Happé, F., Bolton, P., & Plomin, R. (2008). Developmental path between language and autistic‐like impairments: A twin study. Infant and Child Development: An International Journal of Research and Practice, 17(2), 121-136. ",Dworzynski et al. (2008),No data,TEDS,,TEDS,Twin study,DFextremes,12174,,,7-9y,Childhood & Middle Childhood,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,MacArthur Communicative Development Inventory,CAST,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,Low language ability & SIs,Language Ability & SIs,Autistic Traits & Language Ability,0.12,0.01,,,,,DFAonly
"Dworzynski, K., Ronald, A., Hayiou‐Thomas, M. E., McEwan, F., Happé, F., Bolton, P., & Plomin, R. (2008). Developmental path between language and autistic‐like impairments: A twin study. Infant and Child Development: An International Journal of Research and Practice, 17(2), 121-136. ",Dworzynski et al. (2008),No data,TEDS,,TEDS,Twin study,DFextremes,12174,,,7-9y,Childhood & Middle Childhood,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,MacArthur Communicative Development Inventory,CAST,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,CIs & Low language ability,CIs & Language ability,Autistic Traits & Language Ability,0.36,0.01,,,,,DFAonly
"Dworzynski, K., Ronald, A., Hayiou‐Thomas, M. E., McEwan, F., Happé, F., Bolton, P., & Plomin, R. (2008). Developmental path between language and autistic‐like impairments: A twin study. Infant and Child Development: An International Journal of Research and Practice, 17(2), 121-136. ",Dworzynski et al. (2008),No data,TEDS,,TEDS,Twin study,DFextremes,12174,,,7-9y,Childhood & Middle Childhood,UK,,ASD & SLI,ASD & CMD,NDD,Continuous,Continuous,MacArthur Communicative Development Inventory,CAST,,,,,,,Parent,,Not used,,,Family,Combined,Continuous,RRBIs & Low language ability,RRBIs & Language ability,Autistic Traits & Language Ability,0.1,0.01,,,,,DFAonly
"Greven, C. U., Harlaar, N., Dale, P. S., & Plomin, R. (2011). Genetic overlap between ADHD symptoms and reading is largely driven by inattentiveness rather than hyperactivity-impulsivity. Journal of the Canadian Academy of Child and Adolescent Psychiatry, 20(1), 6. ","Greven, Harlaar, Dale & Plomin (2011)",No data,TEDS,,TEDS,Twin study,Classical,12856,,11.54,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,PIAT,GOAL,TOWRE,Woodcock-Johnson III Reading Fluency Test,,,,Parent,,Age,Sex,,Family,Combined,Continuous,ADHD & Reading,ADHD & Reading Ability,ADHD Traits & Reading Ability,-0.31,0.03,0.22,0.1,0.13,0.02,FULL
"Greven, C. U., Harlaar, N., Dale, P. S., & Plomin, R. (2011). Genetic overlap between ADHD symptoms and reading is largely driven by inattentiveness rather than hyperactivity-impulsivity. Journal of the Canadian Academy of Child and Adolescent Psychiatry, 20(1), 6. ","Greven, Harlaar, Dale & Plomin (2011)",No data,TEDS,,TEDS,Twin study,Classical,12856,,11.54,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,PIAT,GOAL,TOWRE,Woodcock-Johnson III Reading Fluency Test,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.15,0.03,0.52,0.1,0.01,0.01,FULL
"Greven, C. U., Harlaar, N., Dale, P. S., & Plomin, R. (2011). Genetic overlap between ADHD symptoms and reading is largely driven by inattentiveness rather than hyperactivity-impulsivity. Journal of the Canadian Academy of Child and Adolescent Psychiatry, 20(1), 6. ","Greven, Harlaar, Dale & Plomin (2011)",No data,TEDS,,TEDS,Twin study,Classical,12856,,11.54,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,PIAT,GOAL,TOWRE,Woodcock-Johnson III Reading Fluency Test,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.31,0.03,0.2,0.07,0.18,0.02,FULL
"Greven, C. U., Kovas, Y., Willcutt, E. G., Petrill, S. A., & Plomin, R. (2014). Evidence for shared genetic risk between ADHD symptoms and reduced mathematics ability: a twin study. Journal of child Psychology and Psychiatry, 55(1), 39-48. ","Greven, Kovas, Willcutt, Petrill & Plomin (2014)",No data,TEDS,,TEDS,Twin study,Classical,12242,,,12y,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,nferNelson Math 5‐14 Series,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.12,0.02,0.56,0.07,0.02,0.01,FULL
"Greven, C. U., Kovas, Y., Willcutt, E. G., Petrill, S. A., & Plomin, R. (2014). Evidence for shared genetic risk between ADHD symptoms and reduced mathematics ability: a twin study. Journal of child Psychology and Psychiatry, 55(1), 39-48. ","Greven, Kovas, Willcutt, Petrill & Plomin (2014)",No data,TEDS,,TEDS,Twin study,Classical,12242,,,12y,Adolescence,UK,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,Conners,PIAT,GOAL,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Maths,Hyperactivity & Maths Ability,ADHD Traits & Reading Ability,-0.22,0.03,0.27,0.01,0.001,0.02,FULL
"Greven, C. U., Kovas, Y., Willcutt, E. G., Petrill, S. A., & Plomin, R. (2014). Evidence for shared genetic risk between ADHD symptoms and reduced mathematics ability: a twin study. Journal of child Psychology and Psychiatry, 55(1), 39-48. ","Greven, Kovas, Willcutt, Petrill & Plomin (2014)",No data,TEDS,,TEDS,Twin study,Classical,12242,,,12y,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,nferNelson Math 5‐14 Series,,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.31,0.01,0.21,0.1,0.2,0.02,FULL
"Greven, C. U., Kovas, Y., Willcutt, E. G., Petrill, S. A., & Plomin, R. (2014). Evidence for shared genetic risk between ADHD symptoms and reduced mathematics ability: a twin study. Journal of child Psychology and Psychiatry, 55(1), 39-48. ","Greven, Kovas, Willcutt, Petrill & Plomin (2014)",No data,TEDS,,TEDS,Twin study,Classical,12242,,,12y,Adolescence,UK,,ADHD & Dyscalculia,ADHD & SLD,NDD,Continuous,Continuous,Conners,PIAT,GOAL,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Inattention & Maths,Inattention & Maths Ability,ADHD Traits & Reading Ability,-0.41,0.03,0.12,0.06,0.2,0.02,FULL
"Greven, C. U., Kovas, Y., Willcutt, E. G., Petrill, S. A., & Plomin, R. (2014). Evidence for shared genetic risk between ADHD symptoms and reduced mathematics ability: a twin study. Journal of child Psychology and Psychiatry, 55(1), 39-48. ","Greven, Kovas, Willcutt, Petrill & Plomin (2014)",No data,TEDS,,TEDS,Twin study,Classical,12242,,,12y,Adolescence,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,GOAL,nferNelson Math 5‐14 Series,,,,,,Parent,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.58,0.05,0.92,0.02,0.32,0.02,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,7.87,,Middle childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,ADHD & Reading,ADHD & Reading Ability,ADHD Traits & Reading Ability,-0.3,0.02,0.16,0.07,0.1,0.02,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,7.87,,Middle childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.05,0.02,0.95,0.08,0.01,0.003,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,7.87,,Middle childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.42,0.02,0.99,0.19,0.14,0.02,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,11.34,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,ADHD & Reading,ADHD & Reading Ability,ADHD Traits & Reading Ability,-0.29,0.02,0.28,0.07,0.15,0.02,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,11.34,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,-0.13,0.02,0.49,0.07,0.03,0.02,FULL
"Greven, C. U., Rijsdijk, F. V., Asherson, P., & Plomin, R. (2012). A longitudinal twin study on the association between ADHD symptoms and reading. Journal of child Psychology and Psychiatry, 53(3), 234-242. ","Greven, Rijsdijk, Asherson & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,16268,,11.34,,Adolescence,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,National Curriculum Criteria,,,,,,,Teacher,,Age,Sex,,Family,Combined,Continuous,Inattention & Reading,Inattention & Reading Ability,ADHD Traits & Reading Ability,-0.31,0.02,0.15,0.08,0.19,0.02,FULL
"Grove, J., Ripke, S., Als, T. D., Mattheisen, M., Walters, R. K., Won, H., . . . Anney, R. (2019). Identification of common genetic risk variants for autism spectrum disorder. Nature genetics, 51(3), 431-444. ",Grove et al. (2019),100,PGC,iPSYCH,"PGC, iPSYCH",LDSC study,LDSC,46350,,,7-12y,Childhood & Adolescence,European ancestry,,ADHD & ASD,ADHD & ASD,NDD,Binary,Categorical,ICD-10,,,,,,,,,,NA,,,SNP,Combined,Categorical,ADHD & ASD,ADHD & ASD,ADHD & ASD,0.36,0.07,,,,,
"Harlaar, N., Kovas, Y., Dale, P. S., Petrill, S. A., & Plomin, R. (2012). Mathematics is differentially related to reading comprehension and word decoding: Evidence from a genetically sensitive design. Journal of educational psychology, 104(3), 622. ","Harlaar, Kovas, Dale, Petrill & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,10324,,11.87,11-12y,Adolescence,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,nferNelson Math 5‐14 Series,,Woodcock-Johnson III (WJ-III) Reading Fluency Test,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.76,0.02,0.97,0.05,0.71,0.05,FULL
"Harlaar, N., Kovas, Y., Dale, P. S., Petrill, S. A., & Plomin, R. (2012). Mathematics is differentially related to reading comprehension and word decoding: Evidence from a genetically sensitive design. Journal of educational psychology, 104(3), 622. ","Harlaar, Kovas, Dale, Petrill & Plomin (2012)",No data,TEDS,,TEDS,Twin study,Classical,10324,,11.87,11-12y,Adolescence,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,nferNelson Math 5‐14 Series,PIAT,TOWRE,,,,,,,,Age,Sex,,Family,Combined,Continuous,Word decoding & Maths,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.5,0.03,0.99,0.51,0.3,0.05,FULL
"Johnson, W., McGue, M., & Iacono, W. G. (2005). Disruptive behavior and school grades: genetic and environmental relations in 11-year-olds. ","Johnson, McGue & Iacono (2005)",98,MTFS,,MTFS,Twin study,Classical,752,,,11-12y,Adolescence,USA,Minessota,ADHD & DICC,ADHD & DICC,DICC,Continuous,Continuous,DICA-R,,,,,,,,Parent,Teacher,Not used,,,Family,Combined,Continuous,Inattention & Disruptive behaviour (CD/ODD),Inattention & DICC,ADHD Traits & DICC Traits,0.5,0.05,0.001,0.02,,,BEST
"Jones, A. P., Larsson, H., Ronald, A., Rijsdijk, F., Busfield, P., Mcmillan, A., . . . Viding, E. (2009). Phenotypic and aetiological associations between psychopathic tendencies, autistic Traits, and emotion attribution. Criminal Justice and Behavior, 36(11), 1198-1212. ",Jones et al. (2009),No data,TEDS,,TEDS,Twin study,Classical,538,,9y,8-10.5y,Middle childhood,UK,,ASD & CD,ASD & CD,DICC,Continuous,Continuous,CD,CAST,,,,,,,Parent,,Age,,,Family,Combined,Continuous,ASD & CD,ASD & CD,Autistic Traits & Antisocial Traits,0.43,0.05,0.99,0.51,0.02,0.01,FULL
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,TCHAD,,TCHAD,Twin study,Classical,2620,,,8-9y,Middle childhood,Sweden,,ADHD & Externalizing,ADHD & Externalizing,DICC,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & Externalizing,ADHD & Externalizing,ADHD Traits & Externalizing Traits,0.63,0.04,0.99,0.05,0.6,0.1,FULL
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,TCHAD,,TCHAD,Twin study,Classical,2620,,,13-14y,Adolescence,Sweden,,ADHD & Externalizing,ADHD & Externalizing,DICC,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & Externalizing,ADHD & Externalizing,ADHD Traits & Externalizing Traits,0.58,0.11,0.99,0.51,0.41,0.1,FULL
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,TCHAD,,TCHAD,Twin study,Classical,2620,,,16-17y,Adolescence,Sweden,,ADHD & Externalizing,ADHD & Externalizing,DICC,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & Externalizing,ADHD & Externalizing,ADHD Traits & Externalizing Traits,0.99,0.01,0.39,0.51,0.99,0.09,FULL
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,TCHAD,,TCHAD,Twin study,Classical,2620,,,19-20y,Adolescence,Sweden,,ADHD & Externalizing,ADHD & Externalizing,DICC,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & Externalizing,ADHD & Externalizing,ADHD Traits & Externalizing Traits,0.77,0.07,0.89,0.51,0.99,0.15,FULL
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ADHD & ASD,ADHD & ASD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ADHD & ASD,ADHD & ASD,ADHD & ASD,0.87,0.06,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ASD & Motor Disorder,ASD & MD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ASD & DCD,ASD & DCD,ASD & DCD,0.71,0.1,,,,,Aonly
