Full Ref,Ref,%White,%Hispanic,%AfrAm,%Asian,%Chinese Han,Cohort,Cohort1,Cohort2,Cohort3,Design1,Design2,Individuals,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Broad Trait/Disorder,Trait/Disorder,Categorical/Continuous,Binary/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Covariate4,Design,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,Binary/Continuous,Group,Sex,h2,h2_SE,c2,c2_SE,e2,e2_SE,Model,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,Diagnosis,,Age,,,,Family,Irregular word reading,Word Reading,Reading Ability,Continuous,,Females,0.73,0.03,,,0.27,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regular word reading,Word Reading,Reading Ability,Continuous,,Females,0.61,0.04,,,0.39,0.05,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Nonword reading,Nonword Reading,Reading Ability,Continuous,,Females,0.71,0.03,,,0.29,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Irregular word spelling,Spelling,Reading Ability,Continuous,,Females,0.76,0.03,,,0.24,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regular word spelling,Spelling,Reading Ability,Continuous,,Females,0.41,0.05,0.19,0.06,0.39,0.05,FULL,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regularisation spelling test,Spelling,Reading Ability,Continuous,,Females,0.52,0.05,,,0.48,0.05,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Irregular word reading,Word Reading,Reading Ability,Continuous,,Males,0.71,0.03,,,0.27,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regular word reading,Word Reading,Reading Ability,Continuous,,Males,0.61,0.04,,,0.39,0.05,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Nonword reading,Nonword Reading,Reading Ability,Continuous,,Males,0.71,0.03,,,0.29,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Irregular word spelling,Spelling,Reading Ability,Continuous,,Males,0.76,0.03,,,0.24,0.06,BEST,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regular word spelling,Spelling,Reading Ability,Continuous,,Males,0.41,0.05,0.19,0.06,0.39,0.05,FULL,,
"Bates, T. C., Castles, A., Coltheart, M., Gillespie, N., Wright, M., & Martin, N. G. (2004). Behaviour genetic analyses of reading and spelling: A component processes approach. Australian Journal of Psychology, 56(2), 115-126. ",Bates et al. (2004),95,,,,,Study of melanocytic naevi (moles),Study of melanocytic naevi (moles),,,Twin study,Classical,1082,18.5,,Adolescence,Australia,Brisbane,SLD,Dyslexia,Continuous,Continuous,Castles and Coltheart tests,Regular- and irregular-word spelling tests,,,,,,,,,Age,,,,Family,Regularisation spelling test,Spelling,Reading Ability,Continuous,,Males,0.52,0.04,,,0.48,0.05,BEST,,
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,,,,,Local UK sample,Local UK sample,,,Twin study,DFextremes,162,8.72,7-16y,Childhood & Adolescence,UK,,SLD,Dyslexia,Continuous,Continuous,Test for Reception of Grammar,Comprehension subtest from the Wechsler Intelligence Scales,Recalling Sentences subtest from the Clinical Evaluation of Language Fundamentals-Revised,Word Finding Test formed by combining items from the Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-III,,,IQ,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,1sd,Combined,0.63,0.23,,,,,DFAonly,,
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,,,,,Local UK sample,Local UK sample,,,Twin study,DFextremes,162,8.72,7-16y,Childhood & Adolescence,UK,,SLD,Dyslexia,Continuous,Continuous,Test for Reception of Grammar,Comprehension subtest from the Wechsler Intelligence Scales,Recalling Sentences subtest from the Clinical Evaluation of Language Fundamentals-Revised,Word Finding Test formed by combining items from the Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-III,,,IQ,,,,Family,Spelling,Spelling,Reading Ability,Continuous,1sd,Combined,0.48,0.2,,,,,DFAonly,,
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,,,,,Local UK sample,Local UK sample,,,Twin study,DFextremes,200,9.8,7-13y,Childhood & Adolescence,UK,,SLD,Dyslexia,Continuous,Continuous,Test for Reception of Grammar,Comprehension subtest from the Wechsler Intelligence Scales,Recalling Sentences subtest from the Clinical Evaluation of Language Fundamentals-Revised,Word Finding Test formed by combining items from the Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-III,,,IQ,,,,Family,Nonword reading,Nonword Reading,Reading Ability,Continuous,<85,Combined,0.16,0.21,,,,,DFAonly,,
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,,,,,Local UK sample,Local UK sample,,,Twin study,DFextremes,200,10.8,7-13y,Childhood & Adolescence,UK,,SLD,Dyslexia,Continuous,Continuous,Test for Reception of Grammar,Comprehension subtest from the Wechsler Intelligence Scales,Recalling Sentences subtest from the Clinical Evaluation of Language Fundamentals-Revised,Word Finding Test formed by combining items from the Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-III,,,IQ,,,,Family,Nonword reading,Nonword Reading,Reading Ability,Continuous,<78,Combined,0.6,0.31,,,,,DFAonly,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,Classical,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Bus story test,Action Picture Test,British Ability Scales,Phonological awareness task,IMCSA,,,,,,Not used,,,,Family,SLI based on language tests,Language Ability,Language Ability,Continuous,,Combined,0,0.11,,,,,Aonly,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,Classical,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Bus story test,Action Picture Test,British Ability Scales,Phonological awareness task,IMCSA,,,,,,Not used,,,,Family,Non-specific LI based on language tests,Language Ability,Language Ability,Continuous,,Combined,0.36,0.2,,,,,Aonly,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,Classical,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Categorical,Binary,Parental report of SLP for SLI,,,,,,,,Parent,,Not used,,,,Family,SLP contact ,SLI,SLI,Binary,,Combined,0.96,0.07,,,,,Aonly,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,Classical,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Categorical,Binary,Parental report of SLP for SLI,,,,,,,,Parent,,Not used,,,,Family,SLP contact (intact nonverbal ability),SLI,SLI,Binary,,Combined,0.97,0.11,,,,,Aonly,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Bus story test,Action Picture Test,British Ability Scales,Phonological awareness task,IMCSA,,,,,,Not used,,,,Family,Language composite,Language Ability,Language Ability,Continuous,1sd,Combined,0.34,0.2,0.35,0.17,0.31,0.08,DFFULL,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Bus story test,Action Picture Test,British Ability Scales,Phonological awareness task,IMCSA,,,,,,Not used,,,,Family,Language composite,Language Ability,Language Ability,Continuous,1.5sd,Combined,0.11,0.16,0.55,0.16,0.33,0.09,DFFULL,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Bus story test,Action Picture Test,British Ability Scales,Phonological awareness task,IMCSA,,,,,,Not used,,,,Family,Language composite,Language Ability,Language Ability,Continuous,2sd,Combined,0.01,0.19,0.51,0.18,0.47,0.12,DFFULL,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Goldman–Fristoe test of articulation,Nonword repetition task,,,,,,,,,Not used,,,,Family,Speech composite,Speech,Language Ability,Continuous,1sd,Combined,0.38,0.19,0.37,0.15,0.24,0.07,DFFULL,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Goldman–Fristoe test of articulation,Nonword repetition task,,,,,,,,,Not used,,,,Family,Speech composite,Speech,Language Ability,Continuous,1.5sd,Combined,0.62,0.18,0.17,0.13,0.21,0.07,DFFULL,,
"Bishop, D., & Hayiou‐Thomas, M. (2008). Heritability of specific language impairment depends on diagnostic criteria. Genes, brain and behavior, 7(3), 365-372. ",Bishop & Hayiou-Thomas (2008),100,,,,,TEDS,TEDS,,,Twin study,DFextremes,1184,,4y,Childhood,UK,England and Wales,Communication Disorder,SLI,Continuous,Continuous,Goldman–Fristoe test of articulation,Nonword repetition task,,,,,,,,,Not used,,,,Family,Speech composite,Speech,Language Ability,Continuous,2sd,Combined,0.84,0.12,0.01,0.06,0.16,0.07,DFFULL,,
"Boomsma, D. I., Van Beijsterveldt, T. C., Odintsova, V. V., Neale, M. C., & Dolan, C. V. (2020). Genetically Informed Regression Analysis: Application to Aggression Prediction by Inattention and Hyperactivity in Children and Adults. Behavior Genetics, 1-14. ","Boomsma, Van Beijsterveldt, Odinstova, Neale & Dolan (2020)",No data,,,,,YNTR,YNTR,,,Twin study,Classical,22690,,10y,Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Age,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.38,0.01,0.01,0.01,0.21,0.01,FULL,,
"Boomsma, D. I., Van Beijsterveldt, T. C., Odintsova, V. V., Neale, M. C., & Dolan, C. V. (2020). Genetically Informed Regression Analysis: Application to Aggression Prediction by Inattention and Hyperactivity in Children and Adults. Behavior Genetics, 1-14. ","Boomsma, Van Beijsterveldt, Odinstova, Neale & Dolan (2020)",No data,,,,,YNTR,YNTR,,,Twin study,Classical,22690,,10y,Middle Childhood,Netherlands,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.17,0.01,0.01,0.01,0.26,0.01,FULL,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,YSR,,,,,,,Self,Parent,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.58,0.02,,,0.42,0.02,BEST,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,YSR,,,,,,,Self,Parent,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.84,0.01,,,0.16,0.03,BEST,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,16-17y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,YSR,,,,,,,Self,Parent,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.78,0.01,,,0.22,0.03,BEST,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,19-20y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,ASR,,,,,,,Self,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.77,0.01,,,0.23,0.03,BEST,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.5,0.02,,,0.5,0.02,BEST,,
"Brikell, I., Kuja-Halkola, R., Larsson, J.-O., Lahey, B. B., Kuntsi, J., Lichtenstein, P., . . . Larsson, H. (2016). Relative immaturity in childhood and attention-deficit/hyperactivity Disorder symptoms from childhood to early adulthood: exploring genetic and environmental overlap across development. Journal of the American Academy of Child & Adolescent Psychiatry, 55(10), 886-895. ",Brikell et al. (2016),No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2604,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.7,0.01,,,0.3,0.03,BEST,,
